playlist_tvg_id,guide_id,display_name
filmboxstars.hr,iptv#ch-122-filmbox-stars,Filmbox Stars
eurocinema1.ba,iptv#ch-euro-cinema-1,Euro Cinema 1
eurocinema2.ba,iptv#ch-euro-cinema-2,Euro Cinema 2
eurocinema3.ba,iptv#ch-euro-cinema-3,Euro Cinema 3
eurocinema4.ba,iptv#ch-euro-cinema-4,Euro Cinema 4
City.Play.(BIH).ba (src05),iptv#ch-208-city-play,CityPLAY
PinkFolk1.hr (src09),PinkFolk1.rs,PINK FOLK 1
Pink.Folk.2.(BIH).ba (src05),PinkFolk2.rs,PINK FOLK 2
Pink.Music.(BIH).ba (src05),PinkMusic.rs,PINK MUSIC
Pink.Music.2.(BIH).ba (src05),PinkMusic2.rs,PINK MUSIC 2
HayatMusic.ba (src01),HayatMusic.ba,HAYAT MUSIC
toxictv.ba,iptv#ch-407-toxic-tv,TOXIC TV
Jugoton.hr (src05),282239016175,JUGOTON
pink&roll.bh,PinknRoll.rs,PINK & ROLL
pinkhits.ba,PinkHits.rs,PINK HITS 1
pinkhits2.ba,PinkHits2.rs,PINK HITS 2
balkanika.ba,338256424367,BALKANIKA
Bravo.Music.(BIH).ba (src05),iptv#ch-206-bravo-music,BRAVO MUSIC
babytv.hr,276770344366,BABY TV
minitv.hr,MiniTV.hr,MINI
nickelodeon.hr,Nickelodeon.hr,NICKELODEON
rtlkockica.hr,RTLKockica.hr,RTL KOCKICA
nicktoons.hr,276770344376,NickToons
